Objective,AvgSim_Nodes,BestLO_Nodes,Global_Nodes,AvgSim_Edges,BestLO_Edges,Global_Edges
49813,0.709409,0.724138,0.666667,0.254776,0.30719,0.234568
48658,0.704525,0.724138,0.652893,0.25231,0.30719,0.25
47875,0.691722,0.73913,0.694915,0.259258,0.324503,0.30719
47033,0.689075,0.754386,0.694915,0.286347,0.360544,0.315789
48551,0.71841,0.769912,0.694915,0.268661,0.290323,0.298701
50840,0.688717,0.709402,0.626016,0.25292,0.324503,0.204819
49183,0.714141,0.73913,0.666667,0.274251,0.342282,0.273885
51739,0.708234,0.694915,0.612903,0.256433,0.290323,0.226994
51975,0.686744,0.666667,0.639344,0.250248,0.282051,0.25
50034,0.705118,0.694915,0.639344,0.281441,0.265823,0.25
48874,0.716115,0.769912,0.666667,0.297594,0.369863,0.290323
47672,0.737627,0.754386,0.652893,0.30475,0.37931,0.257862
48624,0.711242,0.709402,0.639344,0.268933,0.333333,0.204819
48418,0.713688,0.801802,0.680672,0.253258,0.315789,0.257862
50367,0.68197,0.666667,0.612903,0.247866,0.257862,0.257862
48458,0.706774,0.709402,0.680672,0.269431,0.265823,0.298701
50980,0.707133,0.680672,0.639344,0.262844,0.234568,0.226994
48310,0.737335,0.694915,0.694915,0.31116,0.290323,0.360544
46971,0.732667,0.785714,0.709402,0.297829,0.351351,0.282051
50598,0.709637,0.709402,0.666667,0.266907,0.257862,0.242236
49080,0.724006,0.694915,0.680672,0.272994,0.242236,0.265823
48873,0.699594,0.785714,0.626016,0.270518,0.369863,0.226994
47875,0.715632,0.694915,0.709402,0.277929,0.25,0.290323
50339,0.701114,0.694915,0.666667,0.289488,0.369863,0.298701
49115,0.711572,0.709402,0.626016,0.281721,0.333333,0.273885
46991,0.71945,0.724138,0.709402,0.295837,0.315789,0.290323
48106,0.715428,0.785714,0.694915,0.268234,0.315789,0.298701
49516,0.727465,0.709402,0.626016,0.266897,0.273885,0.169591
48738,0.726772,0.724138,0.709402,0.251355,0.290323,0.25
50315,0.68678,0.709402,0.6,0.247755,0.30719,0.242236
50957,0.683703,0.680672,0.612903,0.250295,0.273885,0.242236
48030,0.702347,0.785714,0.709402,0.276809,0.398601,0.282051
50822,0.702257,0.709402,0.626016,0.255317,0.265823,0.265823
48222,0.720009,0.694915,0.666667,0.292965,0.324503,0.30719
48009,0.718274,0.73913,0.724138,0.269376,0.257862,0.273885
49934,0.698011,0.709402,0.639344,0.273807,0.30719,0.282051
50405,0.702078,0.709402,0.639344,0.267038,0.25,0.226994
48406,0.732832,0.724138,0.680672,0.295817,0.282051,0.290323
48531,0.730188,0.709402,0.666667,0.294801,0.388889,0.273885
47975,0.733601,0.769912,0.666667,0.283322,0.290323,0.282051
50608,0.705999,0.680672,0.626016,0.254423,0.282051,0.176471
49071,0.711283,0.724138,0.652893,0.251664,0.242236,0.197605
47929,0.707389,0.754386,0.709402,0.275301,0.290323,0.290323
48790,0.707753,0.769912,0.709402,0.246258,0.290323,0.315789
50449,0.707109,0.73913,0.652893,0.258634,0.25,0.298701
47680,0.72318,0.769912,0.666667,0.293015,0.360544,0.282051
50036,0.693114,0.666667,0.6,0.281534,0.315789,0.242236
47387,0.720092,0.724138,0.724138,0.300967,0.298701,0.30719
46883,0.731905,0.834862,0.724138,0.292809,0.449275,0.408451
